,Make_Honda,Make_Maruti Suzuki,Make_Hyundai,Make_Toyota,Make_BMW,Make_Skoda,Make_Nissan,Make_Renault,Make_Tata,Make_Volkswagen,Make_Ford,Make_Mercedes-Benz,Make_Audi,Make_Mahindra,Make_MG,Make_Jeep,Make_Kia,Make_Volvo,Make_Porsche,Make_Isuzu,Make_Jaguar,Make_Land Rover,Make_MINI,Make_Mitsubishi,Make_Datsun,Make_Chevrolet,Make_Ssangyong,Make_Fiat,Make_Lexus,Model,Price,Year,Kilometer,Fuel Type_Petrol,Fuel Type_Diesel,Fuel Type_CNG,Fuel Type_CNG + CNG,Fuel Type_LPG,Fuel Type_Petrol + CNG,Transmission_Manual,Transmission_Automatic,Location,Color,Owner_First,Owner_Second,Owner_Third,Owner_UnRegistered Car,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elite i20 Asta 1.2,0.12705644140723868,0.7941176470588235,0.023839393977274147,1,0,0,0,0,0,1,0,Mumbai,White,1,0,0,0,Individual,1197 cc,FWD,0.41151881096144916,0.365819209039548,0.2979942693409742,0.5,0.35294117647058826
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR-V VX MT Petrol,0.19514021766641357,0.8823529411764706,0.013944522919609485,1,0,0,0,0,0,1,0,Delhi,White,1,0,0,0,Individual,1199 cc,FWD,0.41802136553646074,0.365819209039548,0.4355300859598854,0.5,0.29411764705882354
30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Venue SX 1.0 Turbo iMT,0.23816755251834978,0.9411764705882353,0.011969448854332038,1,0,0,0,0,0,1,0,Mumbai,Blue,1,0,0,0,Individual,998 cc,FWD,0.41616349280074316,0.4166666666666667,0.44126074498567336,0.5,0.35294117647058826
31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Creta 1.6 SX Plus AT,0.2217160212604404,0.8235294117647058,0.032963736140105254,0,1,0,0,0,0,0,1,Raipur,Black,1,0,0,0,Individual,1582 cc,FWD,0.5438922433813284,0.4307909604519774,0.47707736389684813,0.5,0.5294117647058824
32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ecosport Titanium+ 1.0L EcoBoost,0.12300683371298406,0.7941176470588235,0.013963023613385502,1,0,0,0,0,0,1,0,Mumbai,Silver,1,0,0,0,Individual,999 cc,FWD,0.41802136553646074,0.4096045197740113,0.5888252148997135,0.5,0.43529411764705883
34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santro GL (CNG),0.024297646165527716,0.6176470588235294,0.03596384864432416,0,0,1,0,0,0,1,0,Kanpur,Silver,0,1,0,0,Individual,1086 cc,FWD,0.21644217371110078,0.07062146892655367,0.4197707736389685,0.5,0.23529411764705882
35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tiago Revotron XE [2016-2019],0.09111617312072894,0.8823529411764706,0.013497506156480868,1,0,0,0,0,0,1,0,Mumbai,White,1,0,0,0,Individual,1199 cc,FWD,0.30051091500232235,0.24293785310734464,0.34097421203438394,0.5,0.23529411764705882
36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tigor Revotorq XT,0.11161731207289294,0.8823529411764706,0.021463304873932772,0,1,0,0,0,0,1,0,Patna,White,1,0,0,0,Individual,1047 cc,FWD,0.41477008824895495,0.2853107344632768,0.3438395415472779,0.5,0.23529411764705882
37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Innova 2.4 G 8 STR [2016-2017],0.46848899012908124,0.9117647058823529,0.03546382989362101,0,1,0,0,0,0,1,0,Mumbai,Bronze,1,0,0,0,Individual,2393 cc,RWD,0.7598699489084998,0.501412429378531,0.7134670487106017,1.0,0.47058823529411764
38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GLC 220 d Progressive,0.9620349278663629,0.8529411764705882,0.022763353625760967,0,1,0,0,0,0,0,1,Mumbai,Black,0,1,0,0,Individual,2143 cc,AWD,0.723176962378077,0.5861581920903954,0.4899713467048711,0.5,0.6
39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Creta SX 1.6 CRDi (O),0.2723361174386231,0.8823529411764706,0.029963623635886345,0,1,0,0,0,0,1,0,Patna,White,1,0,0,0,Individual,1582 cc,FWD,0.5438922433813284,0.4307909604519774,0.5272206303724928,0.5,0.47058823529411764
40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M-Class ML 250 CDI,0.5697291824854467,0.7647058823529411,0.05251496931134918,0,1,0,0,0,0,0,1,Vadodara,White,1,0,0,0,Individual,2143 cc,AWD,0.7919182535996284,0.940677966101695,0.7148997134670487,0.5,0.6470588235294118
41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corolla Altis VL AT Petrol,0.26474310301189574,0.8235294117647058,0.022463342375339077,1,0,0,0,0,0,0,1,Mumbai,Black,1,0,0,0,Individual,1798 cc,FWD,0.7064561077566187,0.423728813559322,0.25501432664756446,0.5,0.47058823529411764
42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A4 2.0 TDI (177bhp) Premium Plus,0.3862313338395343,0.7352941176470589,0.032963736140105254,0,1,0,0,0,0,0,1,Hyderabad,White,1,0,0,0,Individual,1968 cc,FWD,0.7440780306549002,0.4957627118644068,0.18624641833810887,0.5,0.5647058823529412
43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SLK-Class SLK 200 K,0.5950392305745381,0.6470588235294118,0.017015638086428243,1,0,0,0,0,0,0,1,Mumbai,Grey,1,0,0,0,Individual,1796 cc,RWD,0.456572224802601,0.4265536723163842,0.0,0.0,0.6470588235294118
44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elite i20 Asta 1.2,0.12047582890407492,0.7941176470588235,0.03416228108554071,1,0,0,0,0,0,1,0,Patna,Gold,1,0,0,0,Individual,1197 cc,FWD,0.41151881096144916,0.365819209039548,0.2979942693409742,0.5,0.35294117647058826
45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thar CRDe 4x4 AC,0.14578587699316628,0.7941176470588235,0.032463717389402104,0,1,0,0,0,0,1,0,Yamunanagar,White,0,1,0,0,Individual,2498 cc,AWD,0.3813283790060381,0.3545197740112994,0.9068767908309455,0.6666666666666666,0.5294117647058824
46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baleno Delta 1.2,0.140723867375348,0.9117647058823529,0.013697513656762129,1,0,0,0,0,0,1,0,Delhi,Silver,1,0,0,0,Individual,1197 cc,FWD,0.41616349280074316,0.3813559322033898,0.29083094555873923,0.5,0.25882352941176473
47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Celerio VXi AMT,0.09187547456340167,0.8235294117647058,0.020492268460067253,1,0,0,0,0,0,0,1,Delhi,Silver,1,0,0,0,Individual,998 cc,FWD,0.23269856014862983,0.1765536723163842,0.37679083094555876,0.5,0.23529411764705882
48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciaz VDi SHVS,0.14578587699316628,0.8235294117647058,0.025628461067290022,0,1,0,0,0,0,1,0,Mumbai,Brown,1,0,0,0,Individual,1248 cc,FWD,0.6460752438457965,0.3601694915254237,0.2693409742120344,0.5,0.32941176470588235
49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciaz VXi,0.11693242217160213,0.7941176470588235,0.022947860544770427,1,0,0,0,0,0,1,0,Mumbai,Silver,1,0,0,0,Individual,1373 cc,FWD,0.6460752438457965,0.3601694915254237,0.2693409742120344,0.5,0.32941176470588235
50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Creta SX Plus 1.6 AT CRDI,0.27866362946089596,0.8529411764705882,0.033264747428028554,0,1,0,0,0,0,0,1,Mumbai,Grey,1,0,0,0,Individual,1582 cc,FWD,0.5438922433813284,0.4307909604519774,0.47707736389684813,0.5,0.5294117647058824
51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Creta SX Plus 1.6  Petrol,0.21159200202480385,0.8235294117647058,0.02895508581571809,1,0,0,0,0,0,1,0,Mumbai,White,1,0,0,0,Individual,1591 cc,FWD,0.5438922433813284,0.4307909604519774,0.47707736389684813,0.5,0.5294117647058824
52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kwid 1.0 RXT AMT Opt,0.10655530245507466,0.9117647058823529,0.005554208282810605,1,0,0,0,0,0,0,1,Mumbai,Silver,1,0,0,0,Individual,999 cc,FWD,0.26939154667905246,0.14689265536723164,0.2593123209169054,0.5,0.15294117647058825
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hector Sharp 2.0 Diesel [2019-2020],0.39534295115160717,0.9117647058823529,0.023113866770003873,0,1,0,0,0,0,1,0,Mumbai,White,1,0,0,0,Individual,1956 cc,FWD,0.7227124941941477,0.5084745762711864,0.663323782234957,0.5,0.5294117647058824
54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tiago Revotron XZA [2017-2019],0.10782080485952923,0.8529411764705882,0.01739665237446404,1,0,0,0,0,0,0,1,Mumbai,Silver,0,1,0,0,Individual,1199 cc,FWD,0.30051091500232235,0.24293785310734464,0.34097421203438394,0.5,0.23529411764705882
55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Innova 2.5 GX BS IV 7 STR,0.20652999240698558,0.7941176470588235,0.02178031676187857,0,1,0,0,0,0,1,0,Delhi,Silver,1,0,0,0,Individual,2494 cc,RWD,0.6901997213190897,0.4096045197740113,0.663323782234957,0.8333333333333334,0.47058823529411764
56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X3 xDrive 20d Luxury Line [2018-2020],0.9493799038218173,0.8823529411764706,0.00471867695038564,0,1,0,0,0,0,0,1,Mumbai,Blue,1,0,0,0,Corporate,1995 cc,AWD,0.7236414305620065,0.5734463276836158,0.5458452722063037,0.5,0.611764705882353
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Compass Limited Plus 2.0 Diesel 4x4 AT,0.6140217666413567,0.9411764705882353,0.005609210345387952,0,1,0,0,0,0,0,1,Mumbai,White,1,0,0,0,Individual,1956 cc,AWD,0.6019507663725034,0.4844632768361582,0.49140401146131807,0.5,0.5294117647058824
58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scorpio SLE BS-IV,0.0888382687927107,0.7647058823529411,0.03896396114854307,0,1,0,0,0,0,1,0,Gurgaon,White,0,1,0,0,Individual,2179 cc,RWD,0.6182071528100325,0.4830508474576271,0.9713467048710601,1.0,0.5294117647058824
59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brio S MT,0.09896228802834725,0.8235294117647058,0.02515044314161781,1,0,0,0,0,0,1,0,Vadodara,White,1,0,0,0,Individual,1198 cc,FWD,0.23734324198792384,0.2895480225988701,0.29083094555873923,0.5,0.23529411764705882
60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3-Series 320i Luxury Line,0.6962794229309036,0.8529411764705882,0.00791279672987737,1,0,0,0,0,0,0,1,Delhi,White,1,0,0,0,Individual,1998 cc,RWD,0.7124941941477009,0.4745762711864407,0.18911174785100288,0.5,0.49411764705882355
61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City V Petrol [2017-2019],0.15084788661098456,0.8529411764705882,0.031963698638698954,1,0,0,0,0,0,1,0,Mumbai,White,1,0,0,0,Individual,1497 cc,FWD,0.6228518346493265,0.3107344632768362,0.2836676217765043,0.5,0.29411764705882354
62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Polo Highline1.2L (D),0.07997975196152873,0.7352941176470589,0.03896396114854307,0,1,0,0,0,0,1,0,Jaipur,Silver,1,0,0,0,Individual,1199 cc,FWD,0.40455178820250814,0.2923728813559322,0.22349570200573066,0.5,0.35294117647058826
63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitara Brezza ZXi Plus,0.2520878258668691,0.9705882352941176,0.011962948610572897,1,0,0,0,0,0,1,0,Mumbai,Silver,1,0,0,0,Individual,1462 cc,FWD,0.41616349280074316,0.4449152542372881,0.49140401146131807,0.5,0.38823529411764707
64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eeco 7 STR [2019-2020],0.11794482409516578,0.9117647058823529,0.020118254434541294,1,0,0,0,0,0,1,0,Pune,Grey,0,1,0,0,Individual,1196 cc,RWD,0.2675336739433349,0.0,0.7206303724928367,0.8333333333333334,0.29411764705882354
65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],0.10275879524171096,0.7941176470588235,0.034813805517706915,1,0,0,0,0,0,0,1,Mumbai,Blue,1,0,0,0,Individual,1197 cc,FWD,0.30933581049698095,0.2612994350282486,0.3194842406876791,0.5,0.32941176470588235
66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X3 xDrive20d,0.44317894203998986,0.7058823529411765,0.037000387514531795,0,1,0,0,0,0,0,1,Hyderabad,Black,1,0,0,0,Individual,1995 cc,AWD,0.7194612169066419,0.5734463276836158,0.5214899713467048,0.5,0.611764705882353
67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortuner 2.8 4x2 AT [2016-2020],0.8731966590736523,0.9117647058823529,0.03646386739502731,0,1,0,0,0,0,0,1,Mumbai,White,1,0,0,0,Individual,2755 cc,RWD,0.7877380399442638,0.536723163841808,0.7707736389684814,0.8333333333333334,0.7647058823529411
68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Civic 1.8S MT,0.03568716780561883,0.5294117647058824,0.06496493618510694,1,0,0,0,0,0,1,0,Deoghar,Maroon,0,0,1,0,Individual,1799 cc,FWD,0.6716209939619137,0.3884180790960452,0.2191977077363897,0.5,0.4117647058823529
70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swift ZXi Plus AMT,0.18375094912680334,0.9705882352941176,0.011962948610572897,1,0,0,0,0,0,0,1,Agra,Grey,1,0,0,0,Individual,1197 cc,FWD,0.346493265211333,0.3672316384180791,0.333810888252149,0.5,0.25882352941176473
71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elite i20 Sportz 1.5 MT Diesel,0.19640597317134903,0.9705882352941176,0.021463304873932772,0,1,0,0,0,0,1,0,Agra,White,1,0,0,0,Individual,1493 cc,FWD,0.41616349280074316,0.423728813559322,0.2979942693409742,0.5,0.25882352941176473
